word	count
the	1515
and	718
to	706
a	611
of	493
she	485
said	416
it	347
in	346
was	327
you	251
I	249
as	237
Alice	221
that	213
her	204
at	196
had	176
with	168
all	151
on	138
be	137
very	125
for	125
“I	119
little	118
they	108
so	103
not	103
but	101
out	97
The	94
he	94
his	93
this	86
what	85
about	84
were	82
up	81
went	79
down	77
one	77
Alice,	76
like	74
have	73
if	69
or	68
would	68
into	67
when	66
no	64
is	63
thought	63
could	63
*	60
Mock	57
its	57
by	55
my	55
Alice.	54
quite	53
your	53
an	52
did	50
then	50
their	50
them	49
And	49
who	48
don’t	48
see	47
some	47
time	46
me	46
began	46
do	46
looked	45
got	45
know	45
there	44
get	43
just	43
only	43
much	40
herself	40
such	40
great	39
must	39
it,	38
“and	38
off	38
came	38
go	38
more	38
way	37
never	37
how	37
are	37
which	37
think	36
been	36
any	36
say	35
after	35
I’m	35
thing	35
Queen	34
from	33
She	33
“What	33
Turtle	33
large	32
“You	32
over	31
put	31
herself,	31
again,	31
March	31
Rabbit	30
round	30
looking	30
made	29
long	29
head	29
back	29
heard	29
found	28
first	28
well	27
seemed	27
on,	27
should	27
might	27
can	27
can’t	27
King	27
going	26
make	26
upon	26
tell	26
said,	26
other	26
look	25
rather	25
it’s	25
poor	25
you,	25
last	25
CHAPTER	24
without	24
“It	24
Hatter	24
So	23
took	23
good	23
soon	23
felt	23
than	23
I’ll	23
will	23
now	23
him	23
three	23
Dormouse	23
nothing	22
White	22
come	22
Gryphon	22
getting	21
shall	21
another	21
moment	21
too	21
wish	21
half	21
same	21
won’t	21
them,	21
I’ve	20
right	20
find	20
two	20
“Well,	20
next	20
added	20
There	19
before	19
things	19
“But	19
“Oh,	19
and,	19
“I’m	19
being	19
till	19
“but	19
once	18
eyes	18
take	18
tried	18
her,	18
it,”	18
cried	18
voice	18
this,	17
even	17
sort	17
“And	17
sat	17
Mouse	17
Queen,	17
use	16
under	16
again.	16
is,	16
eat	16
ever	16
turned	16
curious	16
Alice;	16
sure	16
doesn’t	16
“How	16
tone,	16
Hare	16
wonder	15
it.	15
you’re	15
But	15
away	15
door	15
It	15
there’s	15
gave	15
voice,	15
while	15
called	15
we	15
This	15
“The	15
minute	15
Duchess	15
“It’s	15
King,	15
Gryphon.	15
hear	14
here	14
anything	14
near	14
idea	14
was,	14
words	14
off,	14
set	14
“If	14
something	14
He	14
replied	14
both	14
“That’s	14
Gryphon,	14
ran	13
her.	13
_very_	13
ought	13
saw	13
that’s	13
However,	13
knew	13
out,	13
left	13
grow	13
anxiously	13
_I_	13
kept	13
am	13
again	13
whole	13
old	13
“I’ve	13
Hatter.	13
