Advertisements 	date,Advertisements 	date.1,Advertisements 	date.2,Street,R.,m2,Floor,Series,"Price, m2",Price
,,"Piedāvājam iegādei jaunu 6 istabu dzīvokli divos līmeņos, 6. un",Kugu 15,6,240,6/7,New,"3,774 €","905,750 €"
,,Silts 2-istabu dzīvoklis 10 min no Rīgas centrā. Daļa maksas v,Altonavas 17,2,29,1/2,Pre-war house,434 €,"12,580 €"
,,Tikko izremontēts dzīvoklis. Dzīvoklī duša un tualete. Krās,Altonavas 9,1,30,2/2,Pre-war house,733 €,"22,000 €"
,,Piedāvājam iegādei plašu un gaišu 3-istabu dzīvokli ar skatu uz,Kugu 15,3,91,2/7,Recon.,"2,335 €","212,500 €"
,,"Tiek pārdots pavisam jauns divistabu dzīvoklis skaistajā, renovē",Ranka d. 31,2,44,3/4,Recon.,"2,950 €","129,800 €"
,,"Pārdodu plašu, ļoti siltu un jauku dzīvokli Renovētā un nosliti",Tapeshu 14,3,61,1/2,Recon.,849 €,"51,800 €"
,,Dzīvokļa cenā ir iekļautas divas auto stāvvietas ēkas pagalmā. D,M. Nometnu 1,3,112,3/8,Spec. pr.,"1,536 €","172,000 €"
,,Attīstītājs pārdod dzīvokli unikālā projektā Filozofu Rezidence,Ranka d. 34,3,115,15/23,New,"2,991 €","344,000 €"
,,Attīstītājs pārdod dzīvokli unikālā projektā Filozofu Rezidence,Ranka d. 34,4,133,14/22,New,"2,647 €","352,000 €"
,,Attīstītājs pārdod dzīvokli unikālā projektā Filozofu Rezidence,Ranka d. 34,3,113,6/22,New,"2,442 €","276,000 €"
,,Attīstītājs pārdod dzīvokli unikālā projektā Filozofu Rezidence,Ranka d. 34,3,95,8/22,New,"2,326 €","221,000 €"
,,Attīstītājs pārdod dzīvokli unikālā projektā Filozofu Rezidence,Ranka d. 34,3,102,10/22,New,"2,382 €","243,000 €"
,,Attīstītājs pārdod dzīvokli unikālā projektā Filozofu Rezidence,Ranka d. 34,3,95,6/22,New,"2,179 €","207,000 €"
,,Attīstītājs pārdod dzīvokli unikālā projektā Filozofu Rezidence,Ranka d. 34,3,96,7/22,New,"2,240 €","215,000 €"
,,Pārdošanā nonācis 4-istabu dzīvoklis vēsturiskā ēkā Dzīvoklis,Kapselu 6,4,125,2/2,Pre-war house,"1,920 €","240,000 €"
,,Хозайка продаёт хорошую светлую квартиру с капитальным ремонтом,Melnsila 20,2,43,1/5,Chrusch.,"1,186 €","51,000 €"
,,"Mājīgs 2 istabu dzīvoklis pašā Āgenskalna centrā, jaunajā projek",Ventspils 6,2,41,1/4,New,"2,890 €","118,500 €"
,,"Tiek pārdots pavisam jauns trīsistabu dzīvoklis skaistajā, renov",Ranka d. 31,3,53,2/4,Recon.,"2,950 €","156,350 €"
,,Gatavs dzīvošanai. Pēc remonta. Atbrīvots. Sava apkure. Zeme īpa,Auces 3,2,44,1/3,Pre-war house,"1,545 €","68,000 €"
,,Jaunais cenu piedāvājums šim dzīvoklim spēkā līdz gada beigām. V,M. Nometnu 24,1,28,2/5,Recon.,"2,490 €","69,720 €"
,,Attīstītājs piedāvā special cenu līdz gada beigām dažiem dzīvokļ,M. Nometnu 24,1,29,4/5,Recon.,"2,597 €","75,300 €"
,,Jaunais cenu piedāvājums šim dzīvoklim spēkā līdz gada beigam.,M. Nometnu 24,2,36,1/5,Recon.,"2,358 €","84,900 €"
,,Attīstītājs piedāvā daļēji mēbelētu 2 istabu dzīvokļi par īpašu,M. Nometnu 24,2,33,1/5,Recon.,"2,600 €","85,800 €"
,,Pārdod trīs istabu dzīvokli jaunā mājā Āgenskalnā “Rakstnieku pa,Lermontova 4C,3,72,3/3,New,"2,910 €","209,500 €"
,,Tiek pārdots dzīvoklis 13. stāvā ar fantastisku skatu uz Vecrīgu,Ranka d. 34,3,93,13/23,New,"3,871 €","360,000 €"
,,"Pārdodu 3 istabu dzīvokli pašā Āgenskalna centrā, Vesera ielā 4A",Vesera 4A,3,46,1/2,Pre-war house,967 €,"44,500 €"
,,"Dzīvoklis skaistā Āgenskalna rajonā, klusā skaistā vietā ar labu",Puku 7,3,71,1/2,Pre-war house,"2,113 €","150,000 €"
,,"Silts, saulains un plašs dzīvoklis Āgenskalna sirdī, tikai dažu",Mersraga 9A,2,61,2/3,Recon.,"1,869 €","114,000 €"
,,Attīstītājs pārdod 3 istabu dzīvokli Āgenskalnā. Dzīvokļu reze,Kolkasraga 12,3,65,1/3,New,"2,722 €","176,900 €"
,,Attīstītājs Pārdod plašu divu istabu dzīvokli Āgenskalnā Dzīvok,Kolkasraga 12,2,54,1/3,New,"2,694 €","145,500 €"
